ISO_Code,Economic Freedom Summary Index
ALB,"7,80"
DZA,"4,97"
AGO,"4,75"
ARG,"5,78"
ARM,"7,92"
AUS,"8,23"
AUT,"7,80"
AZE,"6,37"
BHS,"7,62"
BHR,"7,16"
BGD,"6,04"
BRB,"6,22"
BLR,"6,35"
BEL,"7,56"
BLZ,"6,60"
BEN,"6,20"
BTN,"6,63"
BOL,"6,30"
BIH,"6,90"
BWA,"7,60"
BRA,"6,56"
BRN,"6,60"
BGR,"7,74"
BFA,"5,85"
BDI,"5,94"
CPV,"7,41"
KHM,"7,28"
CMR,"5,85"
CAN,"8,17"
CAF,"5,27"
TCD,"5,71"
CHL,"7,96"
CHN,"6,21"
COL,"6,71"
COD,"5,15"
COG,"5,03"
CRI,"7,62"
CIV,"6,09"
HRV,"7,36"
CYP,"7,84"
CZE,"7,81"
DNK,"8,10"
DOM,"7,58"
ECU,"6,46"
EGY,"5,38"
SLV,"7,41"
EST,"7,96"
SWZ,"6,27"
ETH,"5,61"
FJI,"6,50"
FIN,"7,76"
FRA,"7,40"
GAB,"5,86"
GMB,"7,14"
GEO,"8,18"
DEU,"7,85"
GHA,"6,65"
GRC,"6,71"
GTM,"7,70"
GIN,"5,57"
GNB,"5,46"
GUY,"6,68"
HTI,"6,58"
HND,"7,28"
HKG,"8,94"
HUN,"7,44"
ISL,"7,71"
IND,"6,56"
IDN,"7,39"
IRN,"4,80"
IRQ,"5,61"
IRL,"8,13"
ISR,"7,62"
ITA,"7,51"
JAM,"7,69"
JPN,"7,88"
JOR,"7,62"
KAZ,"7,12"
KEN,"6,84"
KOR,"7,69"
KWT,"6,60"
KGZ,"6,99"
LAO,"6,62"
LVA,"7,89"
LBN,"6,88"
LSO,"6,65"
LBR,"6,28"
LBY,"4,72"
LTU,"8,10"
LUX,"7,75"
MDG,"6,20"
MWI,"5,79"
MYS,"7,58"
MLI,"5,93"
MLT,"7,94"
MRT,"6,22"
MUS,"8,21"
MEX,"7,21"
MDA,"6,99"
MNG,"7,43"
MNE,"6,94"
MAR,"6,70"
MOZ,"5,94"
MMR,"5,81"
NAM,"6,52"
NPL,"6,48"
NLD,"7,82"
NZL,"8,53"
NIC,"7,05"
NER,"5,85"
NGA,"6,93"
MKD,"7,15"
NOR,"7,60"
OMN,"6,79"
PAK,"6,07"
PAN,"7,80"
PNG,"6,39"
PRY,"7,23"
PER,"7,76"
PHL,"7,43"
POL,"7,04"
PRT,"7,60"
QAT,"6,88"
ROU,"7,83"
RUS,"6,74"
RWA,"7,39"
SAU,"6,31"
SEN,"6,27"
SRB,"7,05"
SYC,"7,49"
SLE,"5,87"
SGP,"8,65"
SVK,"7,63"
SVN,"7,33"
ZAF,"6,73"
ESP,"7,73"
LKA,"6,88"
SDN,"4,21"
SUR,"6,37"
SWE,"7,58"
CHE,"8,43"
SYR,"5,45"
TWN,"7,94"
TJK,"6,05"
TZA,"6,73"
THA,"6,75"
TLS,"6,29"
TGO,"6,25"
TTO,"7,26"
TUN,"6,07"
TUR,"6,62"
UGA,"7,55"
UKR,"6,06"
ARE,"7,05"
GBR,"8,08"
USA,"8,22"
URY,"7,25"
VEN,"3,34"
VNM,"6,20"
YEM,"5,51"
ZMB,"7,19"
ZWE,"5,12"
ALB,"7,70"
DZA,"4,98"
AGO,"4,86"
ARG,"5,98"
ARM,"7,85"
AUS,"8,18"
AUT,"7,75"
AZE,"6,23"
BHS,"7,31"
BHR,"7,18"
BGD,"6,07"
BRB,"6,33"
BLR,"6,38"
BEL,"7,53"
BLZ,"6,58"
BEN,"6,25"
BTN,"6,64"
BOL,"6,27"
BIH,"6,89"
BWA,"7,55"
BRA,"6,54"
BRN,"6,69"
BGR,"7,76"
BFA,"5,98"
BDI,"6,02"
CPV,"7,34"
KHM,"7,24"
CMR,"5,83"
CAN,"8,26"
CAF,"5,15"
TCD,"5,54"
CHL,"7,92"
CHN,"6,26"
COL,"6,68"
COD,"4,99"
COG,"5,07"
CRI,"7,65"
CIV,"5,96"
HRV,"7,41"
CYP,"7,82"
CZE,"7,77"
DNK,"8,05"
DOM,"7,46"
ECU,"6,37"
EGY,"4,91"
SLV,"7,44"
EST,"7,93"
SWZ,"6,31"
ETH,"5,65"
FJI,"6,54"
FIN,"7,73"
FRA,"7,44"
GAB,"5,85"
GMB,"7,15"
GEO,"8,14"
DEU,"7,87"
GHA,"6,67"
GRC,"6,83"
GTM,"7,72"
GIN,"5,46"
GNB,"5,32"
GUY,"6,64"
HTI,"6,62"
HND,"7,24"
HKG,"8,90"
HUN,"7,53"
ISL,"7,76"
IND,"6,68"
IDN,"7,27"
IRN,"5,49"
IRQ,"5,57"
IRL,"8,14"
ISR,"7,62"
ITA,"7,60"
JAM,"7,54"
JPN,"7,86"
JOR,"7,54"
KAZ,"7,09"
KEN,"6,86"
KOR,"7,72"
KWT,"6,56"
KGZ,"7,05"
LAO,"6,52"
LVA,"7,97"
LBN,"6,95"
LSO,"6,67"
LBR,"6,51"
LBY,"4,60"
LTU,"8,05"
LUX,"7,73"
MDG,"6,14"
MWI,"6,06"
MYS,"7,56"
MLI,"5,85"
MLT,"7,98"
MRT,"6,21"
MUS,"7,99"
MEX,"7,16"
MDA,"6,85"
MNG,"7,50"
MNE,"6,86"
MAR,"6,61"
MOZ,"5,64"
MMR,"5,74"
NAM,"6,40"
NPL,"6,59"
NLD,"7,72"
NZL,"8,48"
NIC,"7,12"
NER,"5,94"
NGA,"6,83"
MKD,"7,15"
NOR,"7,72"
OMN,"6,79"
PAK,"5,88"
PAN,"7,78"
PNG,"6,37"
PRY,"7,17"
PER,"7,73"
PHL,"7,39"
POL,"7,31"
PRT,"7,58"
QAT,"6,96"
ROU,"7,86"
RUS,"6,75"
RWA,"7,19"
SAU,"6,27"
SEN,"6,11"
SRB,"7,01"
SYC,"7,37"
SLE,"5,61"
SGP,"8,70"
SVK,"7,60"
SVN,"7,30"
ZAF,"6,68"
ESP,"7,66"
LKA,"6,64"
SDN,"4,49"
SUR,"6,32"
SWE,"7,67"
CHE,"8,42"
SYR,"5,05"
TWN,"7,84"
TJK,"5,86"
TZA,"6,78"
THA,"6,75"
TLS,"6,36"
TGO,"6,19"
TTO,"7,18"
TUN,"6,11"
TUR,"6,73"
UGA,"7,56"
UKR,"5,86"
ARE,"7,10"
GBR,"8,16"
USA,"8,34"
URY,"7,23"
VEN,"2,72"
VNM,"6,16"
YEM,"6,11"
ZMB,"7,20"
ZWE,"5,16"
ALB,"7,69"
DZA,"5,26"
AGO,"5,39"
ARG,"5,55"
ARM,"7,73"
AUS,"8,16"
AUT,"7,76"
AZE,"6,34"
BHS,"7,39"
BHR,"7,13"
BGD,"6,13"
BRB,"6,30"
BLR,"5,90"
BEL,"7,54"
BLZ,"6,78"
BEN,"6,06"
BTN,"6,81"
BOL,"6,27"
BIH,"6,88"
BWA,"7,50"
BRA,"6,45"
BRN,"6,98"
BGR,"7,60"
BFA,"6,07"
BDI,"6,21"
CPV,"7,21"
KHM,"7,22"
CMR,"5,78"
CAN,"8,24"
CAF,"5,22"
TCD,"5,44"
CHL,"7,92"
CHN,"6,25"
COL,"6,68"
COD,"5,76"
COG,"4,87"
CRI,"7,69"
CIV,"5,95"
HRV,"7,20"
CYP,"7,83"
CZE,"7,87"
DNK,"8,01"
DOM,"7,48"
ECU,"6,29"
EGY,"5,12"
SLV,"7,38"
EST,"8,03"
SWZ,"6,21"
ETH,"5,49"
FJI,"6,44"
FIN,"7,71"
FRA,"7,46"
GAB,"5,75"
GMB,"7,24"
GEO,"8,12"
DEU,"7,96"
GHA,"6,60"
GRC,"6,69"
GTM,"7,79"
GIN,"5,78"
GNB,"5,00"
GUY,"6,57"
HTI,"6,73"
HND,"7,25"
HKG,"8,86"
HUN,"7,59"
ISL,"7,75"
IND,"6,46"
IDN,"7,28"
IRN,"5,51"
IRQ,"5,63"
IRL,"8,20"
ISR,"7,56"
ITA,"7,66"
JAM,"7,60"
JPN,"7,84"
JOR,"7,49"
KAZ,"7,02"
KEN,"6,96"
KOR,"7,68"
KWT,"6,64"
KGZ,"7,06"
LAO,"6,43"
LVA,"8,02"
